What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,What operating system do you use the most?,Which of our sites do you frequent most?
Mexico,35-39,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,VB,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Africa,35-39,Web Application Developer,Mobile,N/A,JavaScript,N/A,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,PHP,Python,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United Kingdom,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Programmers Stack Exchange
United Kingdom,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,SaaS,Java,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,35-39,Manager of Developers or Team Leader,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Other,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,Windows 7,Programmers Stack Exchange
Other Europe,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,Python,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,Ruby,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
Germany,35-39,IT Manager,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Objective C,Windows XP,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,25-29,IT Staff / System Administrator,Other,N/A,N/A,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Super User
Germany,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Middle East,35-39,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Australasia,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Server Programmer,Web Platform,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Canada,40-50,Other,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,VB,Windows 7,Stack Overflow
South America,30-34,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Programmers Stack Exchange
Russia,35-39,Server Programmer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,Lisp,Linux,Programmers Stack Exchange
United States of America,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,N/A,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Africa,20-24,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,30-34,IT Staff / System Administrator,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Linux,Server Fault
Other Europe,20-24,Student,Mobile,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
Germany,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,40-50,Manager of Developers or Team Leader,Enterprise,Java,N/A,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,Objectve C,Mac OS X,Stack Overflow
Other Europe,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,< 20,Student,Other,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,N/A,Windows 7,Programmers Stack Exchange
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,SaaS,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,N/A,N/A,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Embedded Application Developer,Other,N/A,N/A,CSS,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Server Programmer,Enterprise,N/A,JavaScript,CSS,N/A,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,30-34,Desktop Application Developer,Mobile,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,Objective C,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
United Kingdom,40-50,Manager of Developers or Team Leader,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
United States of America,30-34,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,25-29,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Canada,25-29,Embedded Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,Perl,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,35-39,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,35-39,IT Staff / System Administrator,Web Platform,N/A,N/A,CSS,PHP,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Server Fault
United States of America,20-24,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,35-39,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
Germany,30-34,Desktop Application Developer,SaaS,N/A,N/A,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,35-39,Other,Other,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML,Mac OS X,Stack Overflow
Africa,20-24,Student,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
South America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,Symfony,Linux,Programmers Stack Exchange
United States of America,40-50,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Middle East,25-29,IT Manager,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Other,Enterprise,Java,JavaScript,CSS,PHP,N/A,Ruby,SQL,C#,N/A,N/A,Perl,N/A,N/A,Windows XP,Programmers Stack Exchange
United States of America,40-50,Desktop Application Developer,Mobile,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,Objective C,Mac OS X,Stack Overflow
South America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Australia,35-39,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,20-24,Web Application Developer,Web Platform,Java,N/A,CSS,PHP,Python,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Africa,25-29,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Other
India,20-24,Web Application Developer,Mobile,Java,N/A,CSS,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,IT Staff / System Administrator,Other,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,C,Perl,N/A,"Lua, SQL",Linux,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,Python,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Canada,< 20,Student,Other,N/A,N/A,CSS,N/A,Python,Ruby,N/A,N/A,C++,C,Perl,N/A,Haskell,Windows 7,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,SaaS,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Desktop Application Developer,Other,Java,JavaScript,N/A,N/A,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
Canada,35-39,Web Application Developer,Mobile,N/A,N/A,CSS,N/A,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,"Delphi, Objective-C",Mac OS X,Stack Overflow
Africa,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows XP,N/A
United States of America,35-39,Manager of Developers or Team Leader,Enterprise,Java,N/A,N/A,N/A,Python,N/A,SQL,C#,N/A,N/A,Perl,N/A,N/A,Windows 7,Stack Overflow
Canada,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,"Actionscript 3, Objective-C",Mac OS X,Stack Overflow
United Kingdom,40-50,Other,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R,Mac OS X,Stack Overflow
Germany,35-39,Desktop Application Developer,Other,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,30-34,Server Programmer,Enterprise,N/A,JavaScript,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,Delphi,Windows XP,Stack Overflow
Mexico,20-24,Web Application Developer,SaaS,N/A,JavaScript,N/A,N/A,N/A,Ruby,N/A,C#,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,20-24,Student,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
Netherlands,35-39,Systems Analyst,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,excel,Windows 7,Stack Overflow
United Kingdom,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,IT Staff / System Administrator,Mobile,Java,JavaScript,CSS,PHP,N/A,Ruby,SQL,C#,N/A,C,N/A,N/A,N/A,Linux,N/A
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
United States of America,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,Windows XP,Stack Overflow
Other Europe,< 20,Student,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,35-39,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,40-50,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,Ruby,N/A,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,Student,Other,Java,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,40-50,Web Application Developer,SaaS,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,20-24,Server Programmer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,20-24,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Other
Other Europe,35-39,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,IT Manager,Enterprise,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Server Fault
Russia,25-29,Manager of Developers or Team Leader,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,SaaS,N/A,N/A,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Middle East,20-24,Student,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,Desktop Application Developer,Other,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,vb.net,Windows 7,Stack Overflow
South America,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,N/A,C++,C,N/A,N/A,"Adobe Flex, Delphi",Linux,Stack Overflow
United States of America,20-24,Embedded Application Developer,Web Platform,Java,JavaScript,N/A,PHP,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,35-39,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,25-29,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,Objective-C,Windows 7,Stack Overflow
Other Europe,35-39,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
Africa,30-34,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,"Executive (VP of Eng, CTO, CIO, etc.)",Mobile,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,C,Perl,None,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,Mobile,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,Objective-C,Windows 7,Stack Overflow
United States of America,40-50,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
North America (Other),25-29,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,PHP,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,< 20,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Embedded Application Developer,Mobile,Java,N/A,N/A,PHP,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Linux,Super User
Other Europe,25-29,Student,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,Windows 7,Stack Overflow
United States of America,20-24,Other,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,Mac OS X,N/A
South America,25-29,Web Application Developer,Mobile,N/A,JavaScript,CSS,PHP,Python,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Programmers Stack Exchange
Canada,20-24,Student,Web Platform,N/A,JavaScript,CSS,N/A,Python,Ruby,N/A,N/A,C++,C,Perl,N/A,Clojure,Mac OS X,Stack Overflow
Canada,25-29,Web Application Developer,Enterprise,Java,N/A,CSS,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
Canada,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",Mobile,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,C#,C++,N/A,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
Germany,30-34,Desktop Application Developer,Mobile,N/A,N/A,CSS,N/A,N/A,Ruby,SQL,N/A,N/A,C,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,40-50,Web Application Developer,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,Perl,N/A,N/A,Windows XP,Stack Overflow
Other Europe,35-39,Server Programmer,Web Platform,Java,N/A,N/A,PHP,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Linux,Programmers Stack Exchange
United Kingdom,< 20,Student,Other,Java,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Italy,40-50,Server Programmer,Other,Java,N/A,CSS,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,40-50,Server Programmer,SaaS,Java,JavaScript,N/A,N/A,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,"Groovy, Erlang",Linux,Stack Overflow
Netherlands,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,Ruby,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,N/A
United States of America,20-24,Web Application Developer,Other,N/A,N/A,CSS,PHP,N/A,Ruby,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Desktop Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,FORTRAN,Windows 7,Stack Overflow
South America,20-24,Student,Web Platform,Java,JavaScript,N/A,PHP,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,N/A,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,35-39,Server Programmer,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,IT Manager,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,IT Staff / System Administrator,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vb,Windows XP,Server Fault
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
