What Country do you live in?,How old are you?,What is your gender?,Which of the following best describes your occupation?,Which of the following languages or technologies have you used significantly in the past year?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Which technologies are you excited about?,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Which desktop operating system do you use the most?,How do you use Stack Overflow?,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,How often do you find solutions to your programming problems on Stack Overflow without asking a new question?
Egypt,25-29,Male,Mobile Application Developer,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,MongoDB,N/A,N/A,Hadoop,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United Kingdom,40-50,Male,Back-End Web Developer,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Sweden,30-34,Male,Back-End Web Developer,N/A,N/A,C#,N/A,JavaScript,Node.js,N/A,N/A,N/A,N/A,SQL,"SSIS, classic asp, VB",N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Brazil,35-39,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ukraine,25-29,Female,Mobile Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
France,20-24,Male,Enterprise Level Services,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
United States,40-50,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Germany,25-29,Male,Front-End Web Developer,N/A,N/A,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
India,20-24,Male,Enterprise Level Services,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
Poland,20-24,Male,Student,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Verilog,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,N/A
United States,20-24,Male,Database Administrator,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hadoop,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
Norway,20-24,Male,Desktop Software Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Redis,N/A,F#,N/A,Hadoop,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
United Kingdom,30-34,Male,Back-End Web Developer,N/A,N/A,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F#,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Often
United Kingdom,25-29,Male,Database Administrator,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,Haskell,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
United Kingdom,30-34,Male,Back-End Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
United States,35-39,Male,Other,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,Groovy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
Spain,20-24,Male,Student,C,N/A,C#,Java,JavaScript,N/A,N/A,N/A,Python,Ruby,SQL,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,MongoDB,N/A,N/A,Hadoop,AngularJS,N/A,Arduino / Raspberry Pi,Ubuntu,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
India,20-24,Male,Mobile Application Developer,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cordova,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
Romania,< 20,Male,Desktop Software Developer,N/A,C++,C#,N/A,JavaScript,N/A,Objective-C,PHP,Python,N/A,N/A,"Visual Basic, Layla",N/A,N/A,N/A,N/A,C++11,N/A,N/A,F#,N/A,N/A,N/A,N/A,N/A,Windows XP,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
Pakistan,20-24,Male,Back-End Web Developer,N/A,N/A,N/A,Java,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Looking for a job,Build my online reputation,N/A,Always
France,25-29,Male,Student,N/A,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fedora,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Often
United Kingdom,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,VB.NET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Always
Australia,20-24,Male,Full-Stack Web Developer,C,N/A,N/A,Java,N/A,N/A,N/A,PHP,Python,Ruby,N/A,N/A,N/A,N/A,N/A,Dart,N/A,N/A,MongoDB,N/A,N/A,Hadoop,N/A,N/A,N/A,Debian,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
India,20-24,Male,Front-End Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,25-29,Male,Manager of Developers or Team Leader,C,C++,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,nosql,N/A,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Hadoop,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Always
Germany,< 20,Male,Student,N/A,N/A,C#,Java,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
Turkey,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hadoop,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
Germany,30-34,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,Node.js,N/A,PHP,Python,N/A,SQL,"actionscript2, 3",Node.js,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,N/A,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
India,30-34,Male,Manager of Developers or Team Leader,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Hadoop,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Looking for a job,Build my online reputation,spend time :),Almost Always
Russia,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Egypt,20-24,Male,Mobile Application Developer,C,N/A,N/A,Java,N/A,N/A,Objective-C,N/A,Python,N/A,N/A,"Scala, but still in learning phase",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Always
United Kingdom,40-50,Male,IT Staff / System Administrator,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Python,N/A,N/A,Bash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Often
South Africa,35-39,Male,Other,N/A,N/A,N/A,N/A,JavaScript,Node.js,N/A,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
United Kingdom,40-50,Male,Manager of Developers or Team Leader,N/A,N/A,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Often
India,25-29,Male,Mobile Application Developer,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,AngularJS,Cordova,N/A,Windows 7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
France,25-29,Male,Student,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Redis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
India,20-24,Male,Front-End Web Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
Poland,30-34,Male,Full-Stack Web Developer,N/A,N/A,C#,Java,JavaScript,N/A,N/A,PHP,Python,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,N/A,N/A,Looking for a job,N/A,N/A,Almost Always
India,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,Node.js,N/A,PHP,N/A,Ruby,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Hadoop,AngularJS,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,Learning,Almost Always
United Kingdom,< 20,Male,Mobile Application Developer,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Always
India,20-24,Male,Desktop Software Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,WPF,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
Brazil,25-29,Female,Full-Stack Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PHP,Python,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
United Kingdom,35-39,Male,Desktop Software Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Malaysia,25-29,Male,"Executive (VP of Eng, CTO, CIO, etc.)",N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,CoffeeScript,Dart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 8,N/A,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Often
Germany,25-29,Male,Student,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
India,20-24,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,N/A,AngularJS,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
India,30-34,Male,"Executive (VP of Eng, CTO, CIO, etc.)",N/A,N/A,C#,Java,JavaScript,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,MongoDB,N/A,Go,N/A,N/A,N/A,N/A,Mint,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Always
Russia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Italy,25-29,Male,Enterprise Level Services,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
France,40-50,Male,Manager of Developers or Team Leader,C,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PowerShell,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
United Kingdom,30-34,Male,Back-End Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Often
France,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,Node.js,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,Redis,MongoDB,N/A,N/A,N/A,AngularJS,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Always
United Kingdom,30-34,Male,Back-End Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Hadoop,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Poland,20-24,Male,DevOps,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hadoop,AngularJS,N/A,Arduino / Raspberry Pi,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
Japan,30-34,Male,Manager of Developers or Team Leader,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,"RyuQ, Erlang, Guile/Scheme, Haskell",N/A,Haskell,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Often
Spain,20-24,Male,Other,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hadoop,N/A,N/A,N/A,Mac OS X,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,N/A,N/A,Almost Always
France,25-29,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,Node.js,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,Redis,MongoDB,N/A,N/A,N/A,AngularJS,Cordova,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
United Kingdom,25-29,Male,Front-End Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,N/A,Ask questions to solve problems,N/A,N/A,N/A,N/A,Never
India,20-24,Male,Mobile Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Male,Full-Stack Web Developer,C,C++,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Looking for a job,Build my online reputation,N/A,Always
India,20-24,Male,Mobile Application Developer,C,C++,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Hadoop,N/A,N/A,N/A,Mac OS X,N/A,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Often
Germany,35-39,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PHP,N/A,Ruby,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,AngularJS,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
France,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Often
India,20-24,Male,Mobile Application Developer,C,C++,N/A,Java,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
India,30-34,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Male,Front-End Web Developer,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VB6,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Often
Poland,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,Build my online reputation,N/A,Almost Always
South Africa,35-39,Male,Full-Stack Web Developer,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Occasionally
Poland,20-24,Female,Back-End Web Developer,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
France,35-39,Male,Full-Stack Web Developer,N/A,N/A,C#,N/A,JavaScript,N/A,Objective-C,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
Spain,40-50,Male,Back-End Web Developer,N/A,N/A,N/A,Java,JavaScript,Node.js,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Hadoop,AngularJS,N/A,Arduino / Raspberry Pi,Windows 7,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Often
United Kingdom,25-29,Male,IT Staff / System Administrator,N/A,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,Perl,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,N/A,Read other people's questions to solve my problems,Ask questions to solve problems,N/A,N/A,Build my online reputation,N/A,Often
Australia,< 20,Female,I don't work in tech,C,C++,N/A,Java,N/A,N/A,N/A,PHP,N/A,N/A,N/A,"Perl, CLISP",N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arduino / Raspberry Pi,Windows 8,Read other people's questions to solve my problems,N/A,N/A,N/A,N/A,N/A,Almost Always
Russia,25-29,Male,Full-Stack Web Developer,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Read other people's questions to solve my problems,N/A,Answer questions I know the answer to,N/A,N/A,N/A,Always
Romania,30-34,Male,Manager of Developers or Team Leader,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AngularJS,N/A,N/A,Ubuntu,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,N/A,N/A,N/A,Almost Always
