What Country or Region do you live in?,How old are you?,Unnamed: 2,Which of the following languages or technologies have you used significantly in the past year?,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Which technologies are you excited about?,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Which desktop operating system do you use the most?
United States of America,30-34,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,35-39,N/A,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8
United Kingdom,20-24,N/A,N/A,N/A,C#,N/A,N/A,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,PhoneGap,Mac OS X
United States of America,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Windows 7
United States of America,35-39,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,Node.js,N/A,N/A,Python,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Linux
South America,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,30-34,Other,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,Objective-C,N/A,Python,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,Redis,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,C++,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Other
United States of America,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,Dart,N/A,N/A,N/A,N/A,MongoDB,N/A,PhoneGap,Mac OS X
United Kingdom,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,Tcl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,51-60,Other,N/A,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows XP
United States of America,25-29,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,REXX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,C,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,Haskell,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Linux
Canada,35-39,N/A,C,C++,C#,Java,N/A,N/A,N/A,N/A,Objective-C,PHP,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,Dart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8
United States of America,35-39,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,WinRT,N/A,MongoDB,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ColdFusion,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Mac OS X
United States of America,20-24,Other,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,Objective-C,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,< 20,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,Node.js,Objective-C,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Germany,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,Objective-C,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
South America,30-34,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,Smalltalk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,PhoneGap,Windows 7
United States of America,35-39,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8
United Kingdom,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,35-39,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,ColdFusion,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other
United States of America,25-29,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,PHP,Python,N/A,SQL,Coldfusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Windows 7
Canada,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,20-24,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,30-34,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,Haskell,CoffeeScript,Dart,N/A,C++11,N/A,N/A,MongoDB,N/A,N/A,Windows 7
United States of America,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,51-60,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,35-39,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Germany,< 20,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other
Canada,20-24,N/A,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,QuickMacros,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Italy,30-34,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,CoffeeScript,N/A,TypeScript,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Germany,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,20-24,Other,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,Dart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Middle East,40-50,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,30-34,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Mac OS X
India,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,20-24,N/A,N/A,C++,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Other Europe,< 20,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Windows 7
United States of America,20-24,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,25-29,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,Ruby,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,40-50,Other,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,ColdFusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Windows 7
United States of America,40-50,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,"ASP.NET, Entity Framework",N/A,N/A,N/A,Dart,N/A,N/A,WinRT,N/A,N/A,N/A,N/A,Windows 7
United States of America,30-34,N/A,C,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
India,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP
United States of America,25-29,Other,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,OpenCL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Germany,40-50,N/A,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Europe,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,R,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,< 20,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Mac OS X
United States of America,25-29,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Canada,35-39,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,Objective-C,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,N/A,N/A,Java,N/A,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,"Scala, OSGi",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,30-34,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,Objective-C,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Canada,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R, Perl",N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,< 20,N/A,N/A,C++,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VB.NET,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Europe,20-24,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Canada,25-29,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,40-50,N/A,N/A,C++,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Redis,N/A,N/A,N/A,Windows 7
United States of America,20-24,Other,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,Node.js,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,Haskell,N/A,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,PhoneGap,Windows 7
United States of America,25-29,Other,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,CoffeeScript,N/A,N/A,C++11,N/A,N/A,N/A,F#,N/A,Mac OS X
United States of America,30-34,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Windows 8
United States of America,40-50,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Windows 7
India,20-24,N/A,N/A,C++,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,Python,N/A,N/A,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,30-34,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,Node.js,Objective-C,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,TypeScript,N/A,WinRT,N/A,MongoDB,N/A,N/A,Windows 8
United States of America,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Erlang,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Germany,20-24,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WinRT,N/A,N/A,N/A,N/A,Windows 8
United States of America,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Italy,40-50,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,N/A,MySQL,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,51-60,N/A,C,N/A,N/A,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,Ruby,N/A,N/A,Node.js,N/A,CoffeeScript,Dart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United Kingdom,< 20,N/A,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,25-29,N/A,C,C++,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
North America (Other),25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Mac OS X
United States of America,35-39,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP
United States of America,25-29,N/A,N/A,N/A,N/A,Java,N/A,jQuery,N/A,N/A,N/A,N/A,Python,N/A,SQL,Perl,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Linux
India,25-29,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,40-50,N/A,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,dojo,N/A,N/A,N/A,N/A,TypeScript,N/A,N/A,N/A,N/A,F#,N/A,Windows 7
United States of America,25-29,N/A,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Windows 7
United Kingdom,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Russia,30-34,N/A,N/A,C++,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haskell,N/A,N/A,N/A,C++11,N/A,N/A,N/A,F#,N/A,Windows 8
United States of America,20-24,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,30-34,Other,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,Objective-C,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
South America,25-29,Other,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Mac OS X
Other Europe,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Other Europe,< 20,N/A,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,PHP,Python,N/A,SQL,N/A,Node.js,Haskell,N/A,Dart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,40-50,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,Objective-C,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Mac OS X
United States of America,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,< 20,Other,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
South America,30-34,Other,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,30-34,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,20-24,Other,N/A,N/A,C#,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,Dart,TypeScript,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
India,25-29,Other,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haskell,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,Dart,N/A,N/A,N/A,N/A,MongoDB,N/A,PhoneGap,Mac OS X
United States of America,30-34,N/A,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Linux
Other Europe,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South America,20-24,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP
United States of America,40-50,Other,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,Python,Ruby,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
South America,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Linux
United States of America,30-34,N/A,N/A,N/A,C#,N/A,N/A,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,35-39,Other,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 8
Other Asia,20-24,N/A,C,N/A,C#,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,WinRT,N/A,N/A,N/A,N/A,Windows 7
Germany,30-34,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,Ruby,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Mac OS X
