What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Which desktop operating system do you use the most?,Which of our sites do you frequent most?
United States of America,40-50,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Canada,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,Java,JavaScript,N/A,PHP,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,< 20,Student,Mobile,Java,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,N/A,N/A,C,N/A,HTML5,N/A,68k Assembly,Mac OS X,Stack Overflow
Canada,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Database Administrator,Other,N/A,JavaScript,N/A,PHP,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,40-50,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,None
United States of America,40-50,Other,Other,N/A,N/A,CSS,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Other Stack Exchange (please specify)
Australasia,40-50,I don't work in tech,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,20-24,IT Manager,Other,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,C#,C++,C,Perl,HTML5,N/A,N/A,Windows 7,Stack Overflow
Netherlands,35-39,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
Australasia,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Coldfusion,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,N/A
Other Europe,25-29,I don't work in tech,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
South America,20-24,Embedded Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Linux,N/A
United States of America,40-50,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,C,Perl,N/A,N/A,"unix shell, xpath, xquery",Windows 7,Stack Overflow
Canada,20-24,Web Application Developer,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Russia,20-24,Systems Analyst,Enterprise,Java,N/A,N/A,N/A,Python,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Other,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,N/A
United States of America,25-29,Web Application Developer,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,vb.net,Windows XP,Stack Overflow
Germany,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,SQL,N/A,N/A,N/A,Perl,HTML5,N/A,R,Linux,Stack Overflow
Russia,35-39,Database Administrator,Web Platform,N/A,JavaScript,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
North America (Other),30-34,Server Programmer,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Student,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Student,Web Platform,N/A,N/A,CSS,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Other Stack Exchange (please specify)
United States of America,25-29,Web Application Developer,SaaS,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,"Haskell, Common Lisp, Racket",Linux,Programmers Stack Exchange
United States of America,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,Objective-C,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
South America,30-34,Systems Analyst,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,coldfusion,Windows 7,Stack Overflow
India,20-24,IT Staff / System Administrator,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
India,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,< 20,Student,Mobile,Java,N/A,CSS,PHP,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Asia,25-29,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Italy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Web Application Developer,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,Awesomeness,Windows XP,Stack Overflow
United Kingdom,20-24,IT Staff / System Administrator,Other,Java,JavaScript,CSS,PHP,Python,Objective-C,N/A,SQL,N/A,N/A,C,N/A,HTML5,N/A,N/A,Mac OS X,Server Fault
United States of America,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,40-50,Web Application Developer,Web Platform,Java,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,None
United States of America,35-39,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Desktop Application Developer,Other,N/A,N/A,CSS,N/A,Python,N/A,N/A,N/A,N/A,N/A,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Other,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,40-50,Server Programmer,SaaS,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Australia,>60,I don't work in tech,None / Unemployed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Programmers Stack Exchange
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",Other,Java,N/A,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
India,20-24,Student,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Windows 7,N/A
Canada,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Italy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,< 20,Student,Mobile,Java,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Canada,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,N/A
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Germany,20-24,Student,Other,Java,N/A,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Student,Other,Java,N/A,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,VB,Windows XP,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Netherlands,25-29,Web Application Developer,SaaS,N/A,N/A,N/A,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Canada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Asia,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,40-50,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,CSS,N/A,N/A,Objective-C,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Central America,25-29,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,C,N/A,HTML5,N/A,N/A,Windows 7,N/A
Other Asia,20-24,Web Application Developer,SaaS,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Africa,< 20,Web Application Developer,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,N/A
Other Europe,30-34,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,25-29,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
Other Europe,20-24,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Russia,30-34,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,"Redis, Node.js",Windows 7,Stack Overflow
France,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,ActionScript 3,Windows 7,Stack Overflow
United Kingdom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,Server Programmer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
South America,20-24,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Other Stack Exchange (please specify)
Italy,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Germany,20-24,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,N/A,Linux,N/A
Middle East,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Other,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Russia,25-29,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,20-24,IT Staff / System Administrator,Mobile,Java,N/A,N/A,PHP,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,android,Windows 7,Stack Overflow
Germany,25-29,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,Web Application Developer,Other,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Other,Stack Overflow
India,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Middle East,25-29,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,IT Manager,SaaS,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,C#,N/A,N/A,Perl,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,20-24,Desktop Application Developer,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australasia,30-34,Embedded Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Middle East,20-24,Student,Web Platform,N/A,JavaScript,N/A,PHP,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Africa,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,< 20,Student,None / Unemployed,Java,JavaScript,CSS,PHP,N/A,N/A,Ruby,SQL,C#,C++,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Germany,35-39,I don't work in tech,Other,Java,JavaScript,CSS,PHP,Python,N/A,Ruby,SQL,C#,C++,C,Perl,HTML5,N/A,N/A,Windows Vista,Stack Overflow
Other Europe,20-24,Desktop Application Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,Ruby,SQL,N/A,N/A,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Desktop Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Middle East,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,20-24,Web Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,20-24,Desktop Application Developer,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,N/A,N/A,Windows XP,Stack Overflow
Russia,30-34,Server Programmer,Other,N/A,N/A,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
India,30-34,Database Administrator,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,None
India,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,N/A
United States of America,35-39,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Student,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,25-29,Web Application Developer,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Italy,35-39,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
India,20-24,Web Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,android,Windows XP,Stack Overflow
India,25-29,Other,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows Vista,Stack Overflow
India,20-24,Other,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
France,20-24,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Russia,20-24,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Other,Mobile,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,30-34,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,C,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
Other Europe,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Africa,40-50,"Executive (VP of Eng, CTO, CIO, etc.)",Enterprise,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Windows XP,Server Fault
India,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,30-34,Other,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,30-34,Manager of Developers or Team Leader,Mobile,Java,JavaScript,N/A,N/A,Python,Objective-C,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Asia,35-39,Web Application Developer,Enterprise,N/A,N/A,CSS,PHP,N/A,Objective-C,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
